T,genP,demP,H,B
11.5,0.225,0.438,8,102
12,0.238,0.499,8,102
12.5,0.244,0.464,8,102
13,0.319,0.638,8,102
13.5,0.244,0.623,8,102
14,0.194,0.679,8,102
14.5,0.225,0.313,8,102
15,0.213,0.288,8,102
15.5,0.131,0.31,8,102
16,0.088,0.3,8,102
16.5,0.044,0.499,8,102
17,0.019,0.711,8,102
17.5,0.013,0.657,8,102
18,0.013,0.594,8,102
18.5,0.006,0.551,8,102
19,0,0.589,8,102
19.5,0,1.68,8,102
20,0,1.409,8,102
20.5,0,0.616,8,102
21,0,0.335,8,102
21.5,0,0.19,8,102
22,0.006,0.108,8,102
22.5,0,0.135,8,102
23,0,0.078,8,102
23.5,0,0.142,8,102
0,0,0.012,9,109
0.5,0,0.073,9,109
1,0,0.074,9,109
1.5,0,0.026,9,109
2,0,0.012,9,109
2.5,0,0.013,9,109
3,0,0.027,9,109
3.5,0,0.034,9,109
4,0,0.013,9,109
4.5,0,0.012,9,109
5,0,0.013,9,109
5.5,0,0.049,9,109
6,0,0.012,9,109
6.5,0.025,0.013,9,109
7,0.069,0.012,9,109
7.5,0.131,0.041,9,109
8,0.194,0.022,9,109
8.5,0.256,0.015,9,109
9,0.306,0.166,9,109
9.5,0.363,0.483,9,109
10,0.381,0.229,9,109
10.5,0.394,0.225,9,109
11,0.413,0.231,9,109
11.5,0.431,0.28,9,109
12,0.3,0.017,9,109
12.5,0.431,0.207,9,109
13,0.413,0.258,9,109
13.5,0.4,0.18,9,109
14,0.369,0.155,9,109
14.5,0.35,0.157,9,109
15,0.319,0.174,9,109
15.5,0.281,0.013,9,109
16,0.231,0.124,9,109
16.5,0.181,0.159,9,109
17,0.125,0.071,9,109
17.5,0.069,0.942,9,109
18,0.025,0.604,9,109
18.5,0.006,0.053,9,109
19,0,0.028,9,109
19.5,0,0.206,9,109
20,0,0.623,9,109
20.5,0,0.427,9,109
21,0,0.125,9,109
21.5,0,0.131,9,109
22,0,0.08,9,109
22.5,0,0.058,9,109
23,0,0.019,9,109
23.5,0,0.039,9,109
0,0,0.113,10,110
0.5,0,0.098,10,110
1,0,0.046,10,110
1.5,0,0.058,10,110
2,0,0.128,10,110
2.5,0.006,0.064,10,110
3,0,0.062,10,110
3.5,0,0.108,10,110
4,0,0.056,10,110
4.5,0,0.062,10,110
5,0,0.107,10,110
5.5,0,0.093,10,110
6,0,0.045,10,110
6.5,0.006,0.195,10,110
7,0.013,0.169,10,110
7.5,0.013,0.106,10,110
8,0.019,0.07,10,110
8.5,0.019,0.1,10,110
9,0.019,0.045,10,110
9.5,0.088,0.06,10,110
10,0.106,0.123,10,110
10.5,0.238,0.075,10,110
11,0.238,0.11,10,110
11.5,0.269,0.166,10,110
12,0.244,0.087,10,110
12.5,0.438,0.051,10,110
13,0.456,0.107,10,110
13.5,0.4,0.133,10,110
14,0.381,0.067,10,110
14.5,0.363,0.054,10,110
15,0.35,0.125,10,110
15.5,0.306,0.158,10,110
16,0.256,0.12,10,110
16.5,0.194,0.401,10,110
17,0.131,0.569,10,110
17.5,0.069,0.185,10,110
18,0.019,0.337,10,110
18.5,0.006,0.273,10,110
19,0,0.246,10,110
19.5,0,0.171,10,110
20,0,0.189,10,110
20.5,0,0.296,10,110
21,0,0.286,10,110
21.5,0,0.216,10,110
22,0,0.246,10,110
22.5,0,0.239,10,110
23,0,0.235,10,110
23.5,0,0.222,10,110
0,0,0.103,11,118
0.5,0,0.12,11,118
1,0,0.166,11,118
1.5,0,0.369,11,118
2,0,0.36,11,118
2.5,0,0.326,11,118
3,0,0.33,11,118
3.5,0,0.302,11,118
4,0,0.096,11,118
4.5,0,0.165,11,118
5,0,0.129,11,118
5.5,0,0.091,11,118
6,0.003,0.118,11,118
6.5,0.022,0.112,11,118
7,0.024,0.094,11,118
7.5,0.056,0.157,11,118
8,0.049,0.123,11,118
8.5,0.08,0.118,11,118
9,0.246,0.133,11,118
9.5,0.449,0.263,11,118
10,0.547,0.203,11,118
10.5,0.599,0.205,11,118
11,0.657,0.182,11,118
11.5,0.72,0.216,11,118
12,0.629,0.377,11,118
12.5,0.711,0.303,11,118
13,0.742,0.393,11,118
13.5,0.696,0.256,11,118
14,0.693,0.269,11,118
14.5,0.643,0.18,11,118
15,0.565,0.178,11,118
15.5,0.512,0.155,11,118
16,0.421,0.143,11,118
16.5,0.318,0.212,11,118
17,0.245,0.29,11,118
17.5,0.148,0.328,11,118
18,0.056,0.321,11,118
18.5,0.026,1.036,11,118
19,0.007,1.594,11,118
19.5,0,0.959,11,118
20,0,0.468,11,118
20.5,0,0.326,11,118
21,0,0.381,11,118
21.5,0,0.872,11,118
22,0,0.853,11,118
22.5,0,0.461,11,118
23,0,0.157,11,118
23.5,0,0.141,11,118
0,0,0.294,12,127
0.5,0,0.307,12,127
1,0,0.205,12,127
1.5,0,0.245,12,127
2,0,0.205,12,127
2.5,0,0.194,12,127
3,0,0.121,12,127
3.5,0,0.14,12,127
4,0,0.163,12,127
4.5,0,0.118,12,127
5,0,0.198,12,127
5.5,0,0.273,12,127
6,0.006,0.205,12,127
6.5,0.013,0.315,12,127
7,0.031,0.163,12,127
7.5,0.031,0.185,12,127
8,0.081,0.203,12,127
8.5,0.131,0.275,12,127
9,0.188,0.375,12,127
9.5,0.238,0.292,12,127
10,0.219,0.255,12,127
10.5,0.175,0.343,12,127
11,0.231,0.536,12,127
11.5,0.169,0.532,12,127
12,0.319,0.492,12,127
12.5,0.294,0.422,12,127
13,0.244,0.562,12,127
13.5,0.413,0.432,12,127
14,0.406,0.449,12,127
14.5,0.388,0.477,12,127
15,0.375,0.463,12,127
15.5,0.338,0.55,12,127
16,0.319,0.359,12,127
16.5,0.288,0.271,12,127
17,0.206,0.282,12,127
17.5,0.113,0.213,12,127
18,0.05,0.319,12,127
18.5,0.038,0.39,12,127
19,0.006,0.328,12,127
19.5,0,0.395,12,127
20,0,0.524,12,127
20.5,0,0.477,12,127
21,0,0.542,12,127
21.5,0,0.432,12,127
22,0,0.3,12,127
22.5,0,0.184,12,127
23,0,0.181,12,127
23.5,0,0.157,12,127
0,0,0.103,13,131
0.5,0,0.105,13,131
1,0,0.102,13,131
1.5,0,0.099,13,131
2,0,0.099,13,131
2.5,0,0.098,13,131
3,0,0.098,13,131
3.5,0,0.098,13,131
4,0,0.097,13,131
4.5,0,0.097,13,131
5,0,0.096,13,131
5.5,0,0.106,13,131
6,0,0.135,13,131
6.5,0.006,0.154,13,131
7,0.031,0.204,13,131
7.5,0.044,0.119,13,131
8,0.125,0.166,13,131
8.5,0.213,0.223,13,131
9,0.369,0.181,13,131
9.5,0.488,0.273,13,131
10,0.594,0.256,13,131
10.5,0.675,0.25,13,131
11,0.794,0.244,13,131
11.5,0.55,0.214,13,131
12,0.525,0.142,13,131
12.5,0.744,0.08,13,131
13,0.894,0.078,13,131
13.5,0.894,0.062,13,131
14,0.881,0.047,13,131
14.5,0.8,0.201,13,131
15,0.763,0.204,13,131
15.5,0.788,0.203,13,131
16,0.613,0.181,13,131
16.5,0.65,0.181,13,131
17,0.431,0.246,13,131
17.5,0.444,0.252,13,131
18,0.2,0.191,13,131
18.5,0.138,0.205,13,131
19,0.006,0.184,13,131
